t (us),volts
44.4104,0.06434375
44.4112,0.05075
44.412,0.05890625
44.4128,0.06071875
44.4136,0.058
44.4144,0.05165625
44.4152,0.06253125
44.416,0.0725
44.4168,0.08065625
44.4176,0.076125
44.4184,0.1078438
44.4192,0.1069375
44.42,0.1005938
44.4208,0.09878125
44.4216,0.09515625
44.4224,0.09153125
44.4232,0.1042187
44.424,0.112375
44.4248,0.1042187
44.4256,0.1187188
44.4264,0.07703125
44.4272,0.0960625
44.428,0.1105625
44.4288,0.05709375
44.4296,0.09878125
44.4304,0.06615625
44.4312,0.06978125
44.432,0.076125
44.4328,0.08971875
44.4336,0.1033125
44.4344,0.07975
44.4352,0.0670625
44.436,0.06253125
44.4368,0.068875
44.4376,0.03625
44.4384,0.054375
44.4392,0.02628125
44.44,0.0435
44.4408,0.076125
44.4416,0.0634375
44.4424,0.076125
44.4432,0.09334375
44.444,0.083375
44.4448,0.08790625
44.4456,0.0725
44.4464,0.039875
44.4472,0.0598125
44.448,0.0453125
44.4488,0.05528125
44.4496,0.0670625
44.4504,0.05075
44.4512,0.08246875
44.452,0.0670625
44.4528,0.0743125
44.4536,0.0598125
44.4544,0.07340625
44.4552,0.06434375
44.456,0.06615625
44.4568,0.04984375
44.4576,0.054375
44.4584,0.0743125
44.4592,0.068875
44.46,0.05890625
44.4608,0.068875
44.4616,0.04621875
44.4624,0.054375
44.4632,0.04440625
44.464,0.03896875
44.4648,0.047125
44.4656,0.06525
44.4664,0.08246875
44.4672,0.054375
44.468,0.061625
44.4688,0.06253125
44.4696,0.05709375
44.4704,0.0271875
44.4712,0.05165625
44.472,0.02265625
44.4728,0.0308125
44.4736,0.02809375
44.4744,0.029
44.4752,0.068875
44.476,0.061625
44.4768,0.09334375
44.4776,0.0670625
44.4784,0.08971875
44.4792,0.0598125
44.48,0.05075
44.4808,0.0435
44.4816,0.0598125
44.4824,0.0525625
44.4832,0.03625
44.484,0.0634375
44.4848,0.06525
44.4856,0.0743125
44.4864,0.0779375
44.4872,0.05346875
44.488,0.0598125
44.4888,0.0525625
44.4896,0.061625
44.4904,0.02628125
44.4912,0.05709375
44.492,0.0743125
44.4928,0.04984375
44.4936,0.02446875
44.4944,0.061625
44.4952,0.06615625
44.496,0.0743125
44.4968,0.0525625
44.4976,0.0416875
44.4984,0.04803125
44.4992,0.03534375
44.5,0.029
44.5008,0.05346875
44.5016,0.02446875
44.5024,0.04803125
44.5032,0.032625
44.504,0.04440625
44.5048,0.04621875
44.5056,0.06253125
44.5064,0.0670625
44.5072,0.058
44.508,0.058
44.5088,0.05890625
44.5096,0.039875
44.5104,0.02265625
44.5112,0.047125
44.512,0.05165625
44.5128,0.039875
44.5136,0.05709375
44.5144,0.0960625
44.5152,0.08065625
44.516,0.06796875
44.5168,0.09334375
44.5176,0.06796875
44.5184,0.06615625
44.5192,0.08065625
44.52,0.08790625
44.5208,0.0525625
44.5216,0.03896875
44.5224,0.02446875
44.5232,0.0380625
44.524,0.0561875
44.5248,0.0525625
44.5256,0.05165625
44.5264,0.054375
44.5272,0.04259375
44.528,0.068875
44.5288,0.07703125
44.5296,0.07159375
44.5304,0.0888125
44.5312,0.06525
44.532,0.06525
44.5328,0.06434375
44.5336,0.05528125
44.5344,0.07159375
44.5352,0.08609375
44.536,0.09334375
44.5368,0.08790625
44.5376,0.09153125
44.5384,0.0779375
44.5392,0.0815625
44.54,0.0743125
44.5408,0.07521875
44.5416,0.0743125
44.5424,0.0706875
44.5432,0.0634375
44.544,0.07159375
44.5448,0.047125
44.5456,0.0489375
44.5464,0.0344375
44.5472,0.0416875
44.548,0.02990625
44.5488,0.03534375
44.5496,0.04259375
44.5504,0.02446875
44.5512,0.06525
44.552,0.0435
44.5528,0.06978125
44.5536,0.03715625
44.5544,0.03715625
44.5552,0.08428125
44.556,0.05075
44.5568,0.0489375
44.5576,0.058
44.5584,0.054375
44.5592,0.06615625
44.56,0.05709375
44.5608,0.09153125
44.5616,0.06978125
44.5624,0.076125
44.5632,0.08971875
44.564,0.0996875
44.5648,0.05346875
44.5656,0.0670625
44.5664,0.06796875
44.5672,0.0888125
44.568,0.047125
44.5688,0.076125
44.5696,0.0453125
44.5704,0.05165625
44.5712,0.0435
44.572,0.07521875
44.5728,0.03896875
44.5736,0.06615625
44.5744,0.0598125
44.5752,0.06253125
44.576,0.05890625
44.5768,0.054375
44.5776,0.0815625
44.5784,0.058
44.5792,0.0815625
44.58,0.076125
44.5808,0.061625
44.5816,0.04621875
44.5824,0.0779375
44.5832,0.06615625
44.584,0.058
44.5848,0.07340625
44.5856,0.0670625
44.5864,0.09153125
44.5872,0.06978125
44.588,0.05075
44.5888,0.0561875
44.5896,0.05346875
44.5904,0.0743125
44.5912,0.0706875
44.592,0.06071875
44.5928,0.0380625
44.5936,0.07159375
44.5944,0.0271875
44.5952,0.0380625
44.596,0.058
44.5968,0.04078125
44.5976,0.090625
44.5984,0.08609375
44.5992,0.08428125
44.6,0.0634375
44.6008,0.0779375
44.6016,0.06525
44.6024,0.0453125
44.6032,0.07521875
44.604,0.0598125
44.6048,0.0561875
44.6056,0.05709375
44.6064,0.047125
44.6072,0.0888125
44.608,0.0561875
44.6088,0.07340625
44.6096,0.08246875
44.6104,0.06525
44.6112,0.0634375
44.612,0.06253125
44.6128,0.054375
44.6136,0.068875
44.6144,0.04621875
44.6152,0.04803125
44.616,0.0435
44.6168,0.025375
44.6176,0.0525625
44.6184,0.06796875
44.6192,0.0344375
44.62,0.0453125
44.6208,0.05346875
44.6216,0.07340625
44.6224,0.0435
44.6232,0.0706875
44.624,0.0598125
44.6248,0.05709375
44.6256,0.07340625
44.6264,0.05528125
44.6272,0.0851875
44.628,0.06525
44.6288,0.054375
44.6296,0.0525625
44.6304,0.05346875
44.6312,0.04259375
44.632,0.03534375
44.6328,0.03625
44.6336,0.03534375
44.6344,0.0090625
44.6352,0.05165625
44.636,0.0525625
44.6368,0.06071875
44.6376,0.07521875
44.6384,0.0598125
44.6392,0.06978125
44.64,0.0525625
44.6408,0.09878125
44.6416,0.06796875
44.6424,0.058
44.6432,0.0670625
44.644,0.0308125
44.6448,0.032625
44.6456,0.0308125
44.6464,0.03171875
44.6472,0.032625
44.648,0.07884375
44.6488,0.039875
44.6496,0.1069375
44.6504,0.05890625
44.6512,0.06796875
44.652,0.0489375
44.6528,0.0598125
44.6536,0.0561875
44.6544,0.0561875
44.6552,0.06434375
44.656,0.0779375
44.6568,0.04803125
44.6576,0.068875
44.6584,0.0706875
44.6592,0.0561875
44.66,0.05528125
44.6608,0.0706875
44.6616,0.061625
44.6624,0.04803125
44.6632,0.05709375
44.664,0.0598125
44.6648,0.07340625
44.6656,0.06434375
44.6664,0.0743125
44.6672,0.0706875
44.668,0.02628125
44.6688,0.05075
44.6696,0.03625
44.6704,0.04621875
44.6712,0.0634375
44.672,0.02990625
44.6728,0.0598125
44.6736,0.0380625
44.6744,0.07521875
