

Time (s)	Laser Channel	Temperature	Aux In	
0.003000	88.000000	0.005383	0.000000
0.008000	88.000000	0.002738	0.000000
0.013000	88.000000	0.001414	0.000000
0.018000	88.000000	-0.003627	0.000000
0.023000	88.000000	0.000182	0.000000
0.028000	88.000000	-0.004860	0.000000
0.033000	88.000000	0.002734	0.000000
0.038000	88.000000	0.001497	0.000000
0.043000	88.000000	-0.004957	0.000000
0.048000	88.000000	0.000257	0.000000
0.053000	88.000000	-0.007336	0.000000
0.058000	88.000000	0.001583	0.000000
0.063000	88.000000	-0.002217	0.000000
0.068000	88.000000	0.006628	0.000000
0.073000	88.000000	0.001592	0.000000
0.078000	88.000000	0.002825	0.000000
0.083000	88.000000	-0.008661	0.000000
0.088000	88.000000	0.007953	0.000000
0.093000	88.000000	0.002649	0.000000
0.098000	88.000000	-0.012376	0.000000
0.103000	88.000000	-0.002395	0.000000
0.108000	88.000000	-0.001157	0.000000
0.113000	88.000000	-0.004865	0.000000
0.118000	88.000000	-0.001071	0.000000
0.123000	88.000000	0.007867	0.000000
0.128000	88.000000	8.674364E-5	0.000000
0.133000	88.000000	0.007779	0.000000
0.138000	88.000000	-0.007517	0.000000
0.143000	88.000000	-0.002305	0.000000
0.148000	88.000000	-0.006106	0.000000
0.153000	88.000000	0.004242	0.000000
0.158000	88.000000	-0.006101	0.000000
0.163000	88.000000	-0.006273	0.000000
0.168000	88.000000	0.002651	0.000000
0.173000	88.000000	-0.006103	0.000000
0.178000	88.000000	-0.007431	0.000000
0.183000	88.000000	0.006467	0.000000
0.188000	88.000000	0.005207	0.000000
0.193000	88.000000	-0.006104	0.000000
0.198000	88.000000	-0.006018	0.000000
0.203000	88.000000	0.001503	0.000000
0.208000	88.000000	-0.000973	0.000000
0.213000	88.000000	0.003879	0.000000
0.218000	88.000000	0.006533	0.000000
0.223000	88.000000	-0.003712	0.000000
0.228000	88.000000	-0.002304	0.000000
0.233000	88.000000	-0.001065	0.000000
0.238000	88.000000	0.000170	0.000000
0.243000	88.000000	-0.007341	0.000000
0.248000	88.000000	-0.006096	0.000000
0.253000	88.000000	0.002742	0.000000
0.258000	88.000000	0.004059	0.000000
0.263000	88.000000	0.005296	0.000000
0.268000	88.000000	0.001407	0.000000
0.273000	88.000000	-0.001066	0.000000
0.278000	88.000000	-0.000975	0.000000
0.283000	88.000000	-0.006194	0.000000
0.288000	88.000000	0.003970	0.000000
0.293000	88.000000	0.002560	0.000000
0.298000	88.000000	0.005478	0.000000
0.303000	88.000000	0.002743	0.000000
0.308000	88.000000	-0.011214	0.000000
0.313000	88.000000	0.002641	0.000000
0.318000	88.000000	0.002562	0.000000
0.323000	88.000000	-0.001067	0.000000
0.328000	88.000000	-0.003632	0.000000
0.333000	88.000000	-0.002305	0.000000
0.338000	88.000000	0.004059	0.000000
0.343000	88.000000	-0.006100	0.000000
0.348000	88.000000	0.004064	0.000000
0.353000	88.000000	-0.008664	0.000000
0.358000	88.000000	-0.004692	0.000000
0.363000	88.000000	0.000175	0.000000
0.368000	88.000000	0.004150	0.000000
0.373000	88.000000	0.007859	0.000000
0.378000	88.000000	0.001583	0.000000
0.383000	88.000000	-0.001156	0.000000
0.388000	88.000000	-0.003630	0.000000
0.393000	88.000000	-0.001151	0.000000
0.398000	88.000000	0.002734	0.000000
0.403000	88.000000	0.006539	0.000000
0.408000	88.000000	-0.004865	0.000000
0.413000	88.000000	-0.005035	0.000000
0.418000	88.000000	0.007771	0.000000
0.423000	88.000000	0.005392	0.000000
0.428000	88.000000	0.000257	0.000000
0.433000	88.000000	0.002734	0.000000
0.438000	88.000000	0.000170	0.000000
0.443000	88.000000	0.004059	0.000000
0.448000	88.000000	-0.000980	0.000000
0.453000	88.000000	-0.002300	0.000000
0.458000	88.000000	-0.002387	0.000000
0.463000	88.000000	0.010248	0.000000
0.468000	88.000000	-0.002395	0.000000
0.473000	88.000000	-0.005031	0.000000
0.478000	88.000000	-0.004957	0.000000
0.483000	88.000000	0.001582	0.000000
0.488000	88.000000	-0.002393	0.000000
0.493000	88.000000	0.004063	0.000000
0.498000	88.000000	0.006541	0.000000
0.503000	88.000000	-0.012546	0.000000
0.508000	88.000000	-0.001063	0.000000
0.513000	88.000000	-0.003710	0.000000
0.518000	88.000000	-0.007341	0.000000
0.523000	88.000000	-0.003542	0.000000
0.528000	88.000000	0.002820	0.000000
0.533000	88.000000	0.003885	0.000000
0.538000	88.000000	8.170897E-5	0.000000
0.543000	88.000000	0.001406	0.000000
0.548000	88.000000	-0.004867	0.000000
0.553000	88.000000	-0.001067	0.000000
0.558000	88.000000	0.002733	0.000000
0.563000	88.000000	-0.006187	0.000000
0.568000	88.000000	-0.006186	0.000000
0.573000	88.000000	-0.003457	0.000000
0.578000	88.000000	-0.006191	0.000000
0.583000	88.000000	-0.002305	0.000000
0.588000	88.000000	0.003971	0.000000
0.593000	88.000000	0.001500	0.000000
0.598000	88.000000	-0.000980	0.000000
0.603000	88.000000	0.003983	0.000000
0.608000	88.000000	-0.001067	0.000000
0.613000	88.000000	-0.008576	0.000000
0.618000	88.000000	-0.000980	0.000000
0.623000	88.000000	-0.004864	0.000000
0.628000	88.000000	-0.004948	0.000000
0.633000	88.000000	-0.003542	0.000000
0.638000	88.000000	-0.002221	0.000000
0.643000	88.000000	-0.007515	0.000000
0.648000	88.000000	-0.006359	0.000000
0.653000	88.000000	-0.003805	0.000000
0.658000	88.000000	-0.003625	0.000000
0.663000	88.000000	-0.001070	0.000000
0.668000	88.000000	0.001407	0.000000
0.673000	88.000000	0.005209	0.000000
0.678000	88.000000	-0.002479	0.000000
0.683000	88.000000	0.016812	0.000000
0.688000	88.000000	0.005299	0.000000
0.693000	88.000000	0.011485	0.000000
0.698000	88.000000	8.046164E-5	0.000000
0.703000	88.000000	0.001496	0.000000
0.708000	88.000000	0.003971	0.000000
0.713000	88.000000	0.005391	0.000000
0.718000	88.000000	0.004058	0.000000
0.723000	88.000000	-0.002305	0.000000
0.728000	88.000000	-0.003630	0.000000
0.733000	88.000000	0.000262	0.000000
0.738000	88.000000	0.002731	0.000000
0.743000	88.000000	0.003888	0.000000
0.748000	88.000000	0.002820	0.000000
0.753000	88.000000	0.001497	0.000000
0.758000	88.000000	0.001583	0.000000
0.763000	88.000000	0.001407	0.000000
0.768000	88.000000	0.002656	0.000000
0.773000	88.000000	0.000345	0.000000
0.778000	88.000000	0.001495	0.000000
0.783000	88.000000	0.000169	0.000000
0.788000	88.000000	-0.003716	0.000000
0.793000	88.000000	-0.006088	0.000000
0.798000	88.000000	0.006534	0.000000
0.803000	88.000000	0.001497	0.000000
0.808000	88.000000	-0.002129	0.000000
0.813000	88.000000	-0.002307	0.000000
0.818000	88.000000	0.000169	0.000000
0.823000	88.000000	0.006550	0.000000
0.828000	88.000000	0.006631	0.000000
0.833000	88.000000	0.001407	0.000000
0.838000	88.000000	-0.006189	0.000000
0.843000	88.000000	0.007866	0.000000
0.848000	88.000000	0.002824	0.000000
0.853000	88.000000	0.000171	0.000000
0.858000	88.000000	-0.002390	0.000000
0.863000	88.000000	-0.000969	0.000000
0.868000	88.000000	0.002644	0.000000
0.873000	88.000000	0.003972	0.000000
0.878000	88.000000	0.003889	0.000000
0.883000	88.000000	0.002907	0.000000
0.888000	88.000000	0.000258	0.000000
0.893000	88.000000	0.004057	0.000000
0.898000	88.000000	0.001496	0.000000
0.903000	88.000000	0.000257	0.000000
0.908000	88.000000	-0.001070	0.000000
0.913000	88.000000	-0.006107	0.000000
0.918000	88.000000	-0.006102	0.000000
0.923000	88.000000	0.002739	0.000000
0.928000	88.000000	0.000349	0.000000
0.933000	88.000000	0.004067	0.000000
0.938000	88.000000	0.001588	0.000000
0.943000	88.000000	-0.001067	0.000000
0.948000	88.000000	-0.003630	0.000000
0.953000	88.000000	-0.006177	0.000000
0.958000	88.000000	0.006626	0.000000
0.963000	88.000000	0.006626	0.000000
0.968000	88.000000	-0.004691	0.000000
0.973000	88.000000	0.001503	0.000000
0.978000	88.000000	0.005392	0.000000
0.983000	88.000000	0.000257	0.000000
0.988000	88.000000	-0.006178	0.000000
0.993000	88.000000	0.000365	0.000000
0.998000	88.000000	0.000262	0.000000
1.003000	88.000000	0.006541	0.000000
1.008000	88.000000	0.011851	0.000000
1.013000	88.000000	-0.002307	0.000000
1.018000	88.000000	-0.000980	0.000000
1.023000	88.000000	0.004063	0.000000
1.028000	88.000000	-0.002215	0.000000
1.033000	88.000000	-0.006270	0.000000
1.038000	88.000000	0.002733	0.000000
1.043000	88.000000	-0.003539	0.000000
1.048000	88.000000	-0.004952	0.000000
1.053000	88.000000	0.007862	0.000000
1.058000	88.000000	0.006455	0.000000
1.063000	88.000000	-0.002217	0.000000
1.068000	88.000000	-0.001066	0.000000
1.073000	88.000000	0.000266	0.000000
1.078000	88.000000	8.048181E-5	0.000000
1.083000	88.000000	-0.003542	0.000000
1.088000	88.000000	0.000270	0.000000
1.093000	88.000000	-0.000982	0.000000
1.098000	88.000000	0.006445	0.000000
1.103000	88.000000	0.002821	0.000000
1.108000	88.000000	-0.001067	0.000000
1.113000	88.000000	0.006540	0.000000
1.118000	88.000000	0.001763	0.000000
1.123000	88.000000	-0.003708	0.000000
1.128000	88.000000	0.002820	0.000000
1.133000	88.000000	0.001232	0.000000
1.138000	88.000000	0.000259	0.000000
1.143000	88.000000	0.006626	0.000000
1.148000	88.000000	-0.001155	0.000000
1.153000	88.000000	-0.008737	0.000000
1.158000	88.000000	-0.001068	0.000000
1.163000	88.000000	0.002912	0.000000
1.168000	88.000000	-0.006274	0.000000
1.173000	88.000000	-0.001062	0.000000
1.178000	88.000000	-0.002387	0.000000
1.183000	88.000000	-0.006014	0.000000
1.188000	88.000000	-0.003717	0.000000
1.193000	88.000000	8.170897E-5	0.000000
1.198000	88.000000	-0.009988	0.000000
1.203000	88.000000	0.007959	0.000000
1.208000	88.000000	-0.006194	0.000000
1.213000	88.000000	-0.003369	0.000000
1.218000	88.000000	-0.000980	0.000000
1.223000	88.000000	0.002826	0.000000
1.228000	88.000000	0.002742	0.000000
1.233000	88.000000	-0.001062	0.000000
1.238000	88.000000	-0.006100	0.000000
1.243000	88.000000	-0.007339	0.000000
1.248000	88.000000	0.006538	0.000000
1.253000	88.000000	0.003970	0.000000
1.258000	88.000000	-0.000978	0.000000
1.263000	88.000000	-0.002220	0.000000
1.268000	88.000000	8.046164E-5	0.000000
1.273000	88.000000	0.002733	0.000000
1.278000	88.000000	0.004062	0.000000
1.283000	88.000000	0.002820	0.000000
1.288000	88.000000	0.003976	0.000000
1.293000	88.000000	-0.001061	0.000000
1.298000	88.000000	-0.011052	0.000000
1.303000	88.000000	-0.007344	0.000000
1.308000	88.000000	0.005388	0.000000
1.313000	88.000000	-0.003624	0.000000
1.318000	88.000000	-0.002217	0.000000
1.323000	88.000000	0.005295	0.000000
1.328000	88.000000	-0.004775	0.000000
1.333000	88.000000	-0.004869	0.000000
1.338000	88.000000	0.001505	0.000000
1.343000	88.000000	0.005396	0.000000
1.348000	88.000000	-0.002299	0.000000
1.353000	88.000000	-0.002204	0.000000
1.358000	88.000000	-0.008660	0.000000
1.363000	88.000000	-0.002305	0.000000
1.368000	88.000000	-0.002302	0.000000
1.373000	88.000000	-0.002300	0.000000
1.378000	88.000000	0.000257	0.000000
1.383000	88.000000	-0.002393	0.000000
1.388000	88.000000	-0.001067	0.000000
1.393000	88.000000	0.005391	0.000000
1.398000	88.000000	0.004057	0.000000
1.403000	88.000000	-0.008668	0.000000
1.408000	88.000000	-0.004953	0.000000
1.413000	88.000000	-0.008581	0.000000
1.418000	88.000000	0.009107	0.000000
1.423000	88.000000	-0.003449	0.000000
1.428000	88.000000	-0.001151	0.000000
1.433000	88.000000	-0.000979	0.000000
1.438000	88.000000	-0.002297	0.000000
1.443000	88.000000	-0.006191	0.000000
1.448000	88.000000	-0.002393	0.000000
1.453000	88.000000	-0.013784	0.000000
1.458000	88.000000	0.001496	0.000000
1.463000	88.000000	-0.002304	0.000000
1.468000	88.000000	-0.006021	0.000000
1.473000	88.000000	9.066997E-5	0.000000
1.478000	88.000000	-0.007422	0.000000
1.483000	88.000000	0.000351	0.000000
1.488000	88.000000	0.005396	0.000000
1.493000	88.000000	-0.011138	0.000000
1.498000	88.000000	-0.004860	0.000000
1.503000	88.000000	0.001496	0.000000
1.508000	88.000000	0.004057	0.000000
1.513000	88.000000	-0.002303	0.000000
1.518000	88.000000	0.001505	0.000000
1.523000	88.000000	-0.001153	0.000000
1.528000	88.000000	0.009100	0.000000
1.533000	88.000000	-0.007336	0.000000
1.538000	88.000000	-0.002305	0.000000
1.543000	88.000000	-0.006106	0.000000
1.548000	88.000000	-0.003630	0.000000
1.553000	88.000000	0.003970	0.000000
1.558000	88.000000	0.002734	0.000000
1.563000	88.000000	-0.002304	0.000000
1.568000	88.000000	-0.003541	0.000000
1.573000	88.000000	-0.001153	0.000000
1.578000	88.000000	-0.004869	0.000000
1.583000	88.000000	-0.001068	0.000000
1.588000	88.000000	-0.002305	0.000000
1.593000	88.000000	-0.000976	0.000000
1.598000	88.000000	-0.002219	0.000000
1.603000	88.000000	-0.003630	0.000000
1.608000	88.000000	0.004149	0.000000
1.613000	88.000000	-0.007337	0.000000
1.618000	88.000000	-0.004781	0.000000
1.623000	88.000000	-0.009982	0.000000
1.628000	88.000000	-0.001066	0.000000
1.633000	88.000000	-0.002386	0.000000
1.638000	88.000000	-0.008745	0.000000
1.643000	88.000000	-0.007337	0.000000
1.648000	88.000000	-0.003455	0.000000
1.653000	88.000000	-0.003625	0.000000
1.658000	88.000000	-0.002213	0.000000
1.663000	88.000000	-0.002305	0.000000
1.668000	88.000000	-0.004781	0.000000
1.673000	88.000000	-0.002305	0.000000
1.678000	88.000000	0.002820	0.000000
1.683000	88.000000	-0.002386	0.000000
1.688000	88.000000	0.003971	0.000000
1.693000	88.000000	0.000257	0.000000
1.698000	88.000000	-0.006102	0.000000
1.703000	88.000000	-0.002393	0.000000
1.708000	88.000000	-0.006175	0.000000
1.713000	88.000000	0.001582	0.000000
1.718000	88.000000	0.004058	0.000000
1.723000	88.000000	0.011574	0.000000
1.728000	88.000000	-0.008752	0.000000
1.733000	88.000000	-0.000974	0.000000
1.738000	88.000000	0.002825	0.000000
1.743000	88.000000	0.002737	0.000000
1.748000	88.000000	0.005297	0.000000
1.753000	88.000000	-0.000976	0.000000
1.758000	88.000000	-0.001149	0.000000
1.763000	88.000000	0.005388	0.000000
1.768000	88.000000	0.002825	0.000000
1.773000	88.000000	-0.004779	0.000000
1.778000	88.000000	-0.006107	0.000000
1.783000	88.000000	0.005124	0.000000
1.788000	88.000000	-0.004775	0.000000
1.793000	88.000000	-0.006019	0.000000
1.798000	88.000000	0.000171	0.000000
1.803000	88.000000	-0.001155	0.000000
1.808000	88.000000	0.005388	0.000000
1.813000	88.000000	0.001418	0.000000
1.818000	88.000000	0.003971	0.000000
1.823000	88.000000	0.000273	0.000000
1.828000	88.000000	-0.011138	0.000000
1.833000	88.000000	-0.003457	0.000000
1.838000	88.000000	-0.004865	0.000000
1.843000	88.000000	-0.002393	0.000000
1.848000	88.000000	0.002819	0.000000
1.853000	88.000000	0.005387	0.000000
1.858000	88.000000	-0.002388	0.000000
1.863000	88.000000	-0.004781	0.000000
1.868000	88.000000	0.001499	0.000000
1.873000	88.000000	0.000258	0.000000
1.878000	88.000000	-0.008745	0.000000
1.883000	88.000000	-0.004779	0.000000
1.888000	88.000000	-0.003370	0.000000
1.893000	88.000000	-0.002132	0.000000
