1,5.174173855
2,5.161557303
3,5.129224545
4,5.118574898
5,5.115339001
6,5.1038987
7,5.095237224
8,5.071770413
9,5.077367051
10,5.046647583
11,5.036000551
12,5.008972092
13,5.000665952
14,4.981296572
15,4.957073352
16,4.946108259
17,4.934563566
18,4.921287633
19,4.895409401
20,4.883633617
21,4.862830113
22,4.852190674
23,4.828210625
24,4.792798131
25,4.782767085
26,4.763904636
27,4.751802741
28,4.728602433
29,4.69613172
30,4.671041507
31,4.65095749
32,4.62321659
33,4.596499297
34,4.576243111
35,4.560242988
36,4.525661773
37,4.51960399
38,4.504642672
39,4.465388007
40,4.438928356
41,4.418133277
42,4.370960851
43,4.348413719
44,4.318046108
45,4.29315764
46,4.264813243
47,4.236310433
48,4.219901305
49,4.187098522
50,4.159839696
51,4.149519884
52,4.095084095
53,4.062126112
54,4.038805648
55,4.008647708
56,3.976271152
57,3.957728287
58,3.916344875
59,3.895197119
60,3.85653257
61,3.8482
62,3.812
63,3.7754
64,3.7384
65,3.701
66,3.6632
67,3.625
68,3.5864
69,3.5474
70,3.508
71,3.4682
72,3.428
73,3.3874
74,3.3464
75,3.305
76,3.2632
77,3.221
78,3.1784
79,3.1354
80,3.092
81,3.0482
82,3.004
83,2.9594
84,2.9144
85,2.869
86,2.8232
87,2.777
88,2.7304
89,2.6834
90,2.636
91,2.5882
92,2.54
93,2.4914
94,2.4424
95,2.393
96,2.3432
97,2.293
98,2.2424
99,2.1914
100,2.14
101,2.0882
102,2.036
103,1.9834
104,1.9304
105,1.877
106,1.8232
107,1.769
108,1.7144
109,1.6594
110,1.604
