

Time (s)	Laser Channel	Temperature	Aux In	
0.003000	88.000000	-0.000519	0.000000
0.008000	88.000000	-0.001742	0.000000
0.013000	88.000000	0.005697	0.000000
0.018000	88.000000	0.004350	0.000000
0.023000	88.000000	0.000575	0.000000
0.028000	88.000000	0.001790	0.000000
0.033000	88.000000	-0.001740	0.000000
0.038000	88.000000	-0.001869	0.000000
0.043000	88.000000	0.005569	0.000000
0.048000	88.000000	0.003253	0.000000
0.053000	88.000000	0.000944	0.000000
0.058000	88.000000	0.006910	0.000000
0.063000	88.000000	-0.003082	0.000000
0.068000	88.000000	-0.004180	0.000000
0.073000	88.000000	0.000826	0.000000
0.078000	88.000000	-0.001619	0.000000
0.083000	88.000000	-0.004179	0.000000
0.088000	88.000000	0.001912	0.000000
0.093000	88.000000	0.003377	0.000000
0.098000	88.000000	0.002037	0.000000
0.103000	88.000000	0.000937	0.000000
0.108000	88.000000	0.005815	0.000000
0.113000	88.000000	-0.006856	0.000000
0.118000	88.000000	0.000571	0.000000
0.123000	88.000000	0.004725	0.000000
0.128000	88.000000	0.002036	0.000000
0.133000	88.000000	-0.005640	0.000000
0.138000	88.000000	-0.002956	0.000000
0.143000	88.000000	0.007042	0.000000
0.148000	88.000000	-0.003205	0.000000
0.153000	88.000000	-0.000523	0.000000
0.158000	88.000000	0.005814	0.000000
0.163000	88.000000	-0.000525	0.000000
0.168000	88.000000	0.000704	0.000000
0.173000	88.000000	-0.000523	0.000000
0.178000	88.000000	-0.003203	0.000000
0.183000	88.000000	0.000703	0.000000
0.188000	88.000000	0.001917	0.000000
0.193000	88.000000	-0.001738	0.000000
0.198000	88.000000	0.008377	0.000000
0.203000	88.000000	-0.000519	0.000000
0.208000	88.000000	0.004472	0.000000
0.213000	88.000000	0.002036	0.000000
0.218000	88.000000	-0.000508	0.000000
0.223000	88.000000	-0.001744	0.000000
0.228000	88.000000	-0.006981	0.000000
0.233000	88.000000	0.003138	0.000000
0.238000	88.000000	0.003381	0.000000
0.243000	88.000000	-0.011727	0.000000
0.248000	88.000000	-0.009158	0.000000
0.253000	88.000000	-0.001984	0.000000
0.258000	88.000000	-0.006739	0.000000
0.263000	88.000000	0.003141	0.000000
0.268000	88.000000	0.002036	0.000000
0.273000	88.000000	-0.009291	0.000000
0.278000	88.000000	-0.009293	0.000000
0.283000	88.000000	-0.005522	0.000000
0.288000	88.000000	-0.008071	0.000000
0.293000	88.000000	-0.001723	0.000000
0.298000	88.000000	-0.000401	0.000000
0.303000	88.000000	0.001911	0.000000
0.308000	88.000000	-0.005397	0.000000
0.313000	88.000000	-0.000521	0.000000
0.318000	88.000000	-0.009531	0.000000
0.323000	88.000000	-0.005629	0.000000
0.328000	88.000000	-0.006982	0.000000
0.333000	88.000000	-0.000523	0.000000
0.338000	88.000000	-0.003077	0.000000
0.343000	88.000000	0.000825	0.000000
0.348000	88.000000	-0.001744	0.000000
0.353000	88.000000	0.000697	0.000000
0.358000	88.000000	0.003255	0.000000
0.363000	88.000000	-0.001866	0.000000
0.368000	88.000000	-0.006857	0.000000
0.373000	88.000000	-0.001987	0.000000
0.378000	88.000000	0.001793	0.000000
0.383000	88.000000	0.003130	0.000000
0.388000	88.000000	-0.004288	0.000000
0.393000	88.000000	-0.001985	0.000000
0.398000	88.000000	0.003267	0.000000
0.403000	88.000000	-0.005644	0.000000
0.408000	88.000000	-0.000525	0.000000
0.413000	88.000000	0.001913	0.000000
0.418000	88.000000	-0.005391	0.000000
0.423000	88.000000	0.005813	0.000000
0.428000	88.000000	-0.004422	0.000000
0.433000	88.000000	0.000939	0.000000
0.438000	88.000000	-0.006852	0.000000
0.443000	88.000000	0.008503	0.000000
0.448000	88.000000	-0.008071	0.000000
0.453000	88.000000	-0.009290	0.000000
0.458000	88.000000	-0.004301	0.000000
0.463000	88.000000	0.009476	0.000000
0.468000	88.000000	-0.009291	0.000000
0.473000	88.000000	0.002036	0.000000
0.478000	88.000000	0.005823	0.000000
0.483000	88.000000	0.003260	0.000000
0.488000	88.000000	-0.009293	0.000000
0.493000	88.000000	-0.004303	0.000000
0.498000	88.000000	-0.007951	0.000000
0.503000	88.000000	0.000692	0.000000
0.508000	88.000000	-0.001742	0.000000
0.513000	88.000000	-0.009416	0.000000
0.518000	88.000000	0.001916	0.000000
0.523000	88.000000	0.000701	0.000000
0.528000	88.000000	-0.003085	0.000000
0.533000	88.000000	0.007162	0.000000
0.538000	88.000000	-0.009403	0.000000
0.543000	88.000000	0.001916	0.000000
0.548000	88.000000	0.003135	0.000000
0.553000	88.000000	0.000694	0.000000
0.558000	88.000000	0.004471	0.000000
0.563000	88.000000	-0.003084	0.000000
0.568000	88.000000	-0.013188	0.000000
0.573000	88.000000	0.004349	0.000000
0.578000	88.000000	-0.001741	0.000000
0.583000	88.000000	-0.010622	0.000000
0.588000	88.000000	-0.009253	0.000000
0.593000	88.000000	-0.002959	0.000000
0.598000	88.000000	0.003498	0.000000
0.603000	88.000000	0.004595	0.000000
0.608000	88.000000	-0.001863	0.000000
0.613000	88.000000	-0.005638	0.000000
0.618000	88.000000	-0.008079	0.000000
0.623000	88.000000	0.008392	0.000000
0.628000	88.000000	0.000694	0.000000
0.633000	88.000000	0.002034	0.000000
0.638000	88.000000	-0.007956	0.000000
0.643000	88.000000	0.000821	0.000000
0.648000	88.000000	-0.005644	0.000000
0.653000	88.000000	-0.006733	0.000000
0.658000	88.000000	0.001793	0.000000
0.663000	88.000000	-0.006853	0.000000
0.668000	88.000000	-0.006734	0.000000
0.673000	88.000000	0.003132	0.000000
0.678000	88.000000	0.004472	0.000000
0.683000	88.000000	-0.000159	0.000000
0.688000	88.000000	0.002034	0.000000
0.693000	88.000000	-0.001741	0.000000
0.698000	88.000000	-0.006977	0.000000
0.703000	88.000000	0.004475	0.000000
0.708000	88.000000	-0.005393	0.000000
0.713000	88.000000	0.002036	0.000000
0.718000	88.000000	-0.002963	0.000000
0.723000	88.000000	0.005937	0.000000
0.728000	88.000000	-0.006855	0.000000
0.733000	88.000000	-0.001738	0.000000
0.738000	88.000000	-0.004301	0.000000
0.743000	88.000000	-0.003084	0.000000
0.748000	88.000000	0.000827	0.000000
0.753000	88.000000	-0.005516	0.000000
0.758000	88.000000	-0.000525	0.000000
0.763000	88.000000	-0.005641	0.000000
0.768000	88.000000	0.002159	0.000000
0.773000	88.000000	-0.005519	0.000000
0.778000	88.000000	0.002157	0.000000
0.783000	88.000000	-0.003085	0.000000
0.788000	88.000000	0.000957	0.000000
0.793000	88.000000	0.004595	0.000000
0.798000	88.000000	0.005941	0.000000
0.803000	88.000000	-0.002839	0.000000
0.808000	88.000000	-0.005519	0.000000
0.813000	88.000000	0.007035	0.000000
